_id,city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,weather_main,wind_deg,wind_speed
35941fd6442fa5b869e5436de30750e4,ha noi,100,2741.7,2025-01-07,173.0,108,Queuing traffic,294.78,10,8,53,6,21.0285,568.0519650284,105.8048,2,39,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
6445de262c97e94713db66005f97e260,ha noi,100,2741.7,2025-01-07,150.0,101,Stationary traffic,294.73,10,8,51,6,21.03,381.2570415866,105.8,3,7,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,132,2.13
5993785a40a4ae9b8277ef4acfe8cf9c,da nang,20,1050.8,2025-01-07,100.0,115,Slow traffic,298.4,10,8,65,6,16.0454,1639.4113843865,108.2096,1,23,101.0,117.66,115.07,Low,1013,18.685,298.15,4,4.0,10000,few clouds,Clouds,90,3.6
95d4904100d7f5bff3c7a37c8096fffd,ha noi,100,2651.05,2025-01-07,167.0,108,Queuing traffic,294.73,10,8,51,6,21.0285,590.4927146492,105.8048,2,12,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
71990ee6eba15bf997781011dfd57df5,ho chi minh city,40,3516.85,2025-01-07,111.0,115,Slow traffic,306.31,10,8,67,6,10.7626,652.560295468,106.6602,1,34,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
5fa47c56d020954d934408bb18ab1c60,da nang,20,1045.25,2025-01-07,150.0,108,Queuing traffic,298.39,10,8,65,6,16.0471,616.420288964,108.2062,2,36,77.0,127.095,124.135,Low,1013,13.69,298.14,4,4.0,10000,few clouds,Clouds,90,3.6
9f0429c026d8bef23d42cce939c876c5,ha noi,100,2741.7,2025-01-07,76.0,115,Slow traffic,294.8,10,8,54,6,21.0285,762.858956015,105.8048,1,50,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,121,2.58
35349a72f654256c605f1156c8af3790,ha noi,100,2651.05,2025-01-07,127.0,108,Queuing traffic,294.73,10,8,51,6,21.0285,383.6410828863,105.8048,2,32,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
9daaaf3f7ed06f1391eeb2d70f7e922e,ho chi minh city,40,3516.85,2025-01-07,129.0,108,Queuing traffic,306.31,10,8,67,6,10.7626,453.4064485479,106.6602,2,36,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
ed12354a64d02470650986a5b8391a08,da nang,20,1045.25,2025-01-07,208.0,108,Queuing traffic,298.51,10,8,69,6,16.0454,750.0107326046,108.2096,2,15,77.0,127.095,124.135,Low,1013,13.69,298.15,4,4.0,10000,few clouds,Clouds,90,3.09
578dfa3302222048fbfc0199141288bb,ho chi minh city,40,3516.85,2025-01-07,146.0,101,Stationary traffic,307.55,10,8,67,6,10.7626,241.5328659432,106.6602,3,50,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
48fa88c71c03abc00a807033fd16c87f,da nang,20,1050.8,2025-01-07,152.0,108,Queuing traffic,298.39,10,8,65,6,16.0471,588.2412558256,108.2062,2,28,101.0,117.66,115.07,Low,1013,18.685,298.14,4,4.0,10000,few clouds,Clouds,90,3.6
0e005d077f04e70c5498efd00775fb9d,ho chi minh city,40,3516.85,2025-01-07,168.0,115,Slow traffic,307.32,10,8,66,6,10.7626,733.4779680006,106.6602,1,25,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
1fe877d21a78be9a6153c8b65fdbdb75,ha noi,100,2741.7,2025-01-07,98.0,115,Slow traffic,294.78,10,8,53,6,21.0285,800.8668113956,105.8048,1,38,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
b90257dae1915defc5c4984181a25d56,da nang,20,1045.25,2025-01-07,120.0,115,Slow traffic,298.4,10,8,65,6,16.0454,753.6583645173,108.2096,1,31,77.0,127.095,124.135,Low,1013,13.69,298.15,4,4.0,10000,few clouds,Clouds,90,3.6
cb5241a95cd0659146a6af97ef3ef6a3,da nang,20,1045.25,2025-01-07,139.0,101,Stationary traffic,298.5,10,8,69,6,16.05,199.4180138745,108.21,3,10,77.0,127.095,124.135,Low,1013,13.69,298.14,4,4.0,10000,few clouds,Clouds,90,3.09
d04a404413aa5bcfd47462506ca115a3,ho chi minh city,40,3516.85,2025-01-07,124.0,101,Stationary traffic,306.31,10,8,67,6,10.7626,337.8702361985,106.6602,3,37,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
6365f247c28451617f8682e34f5d9fe8,ha noi,100,2741.7,2025-01-07,157.0,101,Stationary traffic,294.8,10,8,54,6,21.0285,355.0927803591,105.8048,3,48,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,121,2.58
f83d6e165ef389f742f799b2660609ae,ho chi minh city,40,3516.85,2025-01-07,207.0,115,Slow traffic,307.55,10,8,67,6,10.7626,739.4698086491,106.6602,1,42,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
21427fb24c5ad236eb485a6603b1b76d,ha noi,100,2741.7,2025-01-07,116.0,115,Slow traffic,294.73,10,8,51,6,21.0285,1609.0360289556,105.8048,1,31,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
fb72814f49e67b127fccfc8eefc62ade,ho chi minh city,40,3516.85,2025-01-07,194.0,101,Stationary traffic,306.31,10,8,67,6,10.7626,165.9810727247,106.6602,3,36,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
596702df3f992c5ae9464210882cfb93,ha noi,100,2651.05,2025-01-07,121.0,115,Slow traffic,294.8,10,8,54,6,21.0285,267.9738526277,105.8048,1,42,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,121,2.58
